altmetric_id,title,country,tiers
scidevnet,SciDevNet,GB,tier3
materials_today,"Materials Today",GB,tier3
north_carolina_health_news,"North Carolina Health News",US,tier3
panorama,Panorama,AM,tier2
the_american_scholar,"The American Scholar",US,tier2
il_post,"Il Post",IT,tier2
salon,Salon,US,tier1
le_scienze,"Le Scienze",IT,tier3
quanta_magazine,"Quanta Magazine",US,tier3
plus_magazine,"Plus Magazine",GB,tier3
readers_digest,"Reader's Digest",CA,tier2
e_science_news,"e! Science News",CA,tier3
the_inquisitr,"The Inquisitr",US,tier2
london_review_of_books,"London Review of Books",GB,tier3
the_new_yorker,"The New Yorker",US,tier1
u_t_san_diego,"U-T San Diego",US,tier2
rt,"RT Network",RU,tier2
doctors_lounge,"Doctors Lounge",US,tier3
psychiatric_news,"Psychiatric News",US,tier3
beckers_hospital_review,"Becker's Hospital Review",US,tier3
beckers_spine_review,"Becker's Spine Review",US,tier3
beckers_asc_review,"Becker's ASC Review",US,tier3
mainichi,Mainichi,JP,tier1
howstuffworks,HowStuffWorks,US,tier3
cnet,CNET,US,tier3
volkskrant,Volkskrant,NL,tier2
scicasts,Scicasts,US,tier3
footnote,Footnote,US,tier3
folha_de_s_paulo,"Folha de S. Paulo",BR,tier2
brasil_de_fato,"Brasil de Fato",BR,tier2
correio_braziliense,"Correio Braziliense",BR,tier2
o_dia,"O Dia",BR,tier2
diario_do_nordeste,"Diário do Nordeste",BR,tier2
estadao_com_br,Estadao.com.br,BR,tier2
jornal_pequeno,"Jornal Pequeno",BR,tier2
jornal_do_brasil,"Jornal do Brasil",BR,tier2
uol,UOL,BR,tier2
valeparaibano,Valeparaibano,BR,
g1,G1,BR,tier2
brazil_news_net,"Brazil News.net",BR,tier4
science_world_report,"Science World Report",US,tier3
photonics_com,Photonics.com,US,tier3
vision_systems_design,"Vision Systems Design",US,tier3
new_zealand_herald,"New Zealand Herald",NZ,tier2
the_dominion_post,"The Dominion Post",NZ,tier4
the_press,"The Press",NZ,tier2
otago_daily_times,"Otago Daily Times",NZ,tier2
el_diario,"El Diario",BO,tier2
el_deber,"El Deber",BO,tier2
elsevier_nl,Elsevier.nl,NL,tier2
nature_world_news,"Nature World News",US,tier3
newsmoves,NewsMoves,US,tier4
the_santiago_times,"The Santiago Times",CL,tier2
latercera,Latercera,CL,tier2
engadget,Engadget,US,tier3
gizmodo,Gizmodo,US,tier3
toronto_sun,"Toronto Sun",CA,tier4
deccan_chronicle,"Deccan Chronicle",IN,tier2
nikkan_kogyo,"Nikkan Kogyo",JP,tier3
kankyo_business,"Kankyo Business",JP,tier3
science_portal,"Science Portal",JP,tier3
the_gomutimes_digital,"The Gomutimes Digital",JP,tier3
